Ref,Type,Sheet
U1A,74HC32,RAM
U1B,74HC32,RAM
U1C,74HC32,---
U1D,74HC32,---
U2A,74HC04,RAM
U2B,74HC04,PPI
U2C,74HC04,PPI
U2D,74HC04,IO
U2E,74HC04,PSG
U2F,74HC04,---
U3,HM62256ALP-10,RAM
U4,HM62256ALP-10,RAM
U5A,74HC11,SLOTS
U5B,74HC11,SLOTS
U5C,74HC11,---
U6,---,---
U7,---,---
U8,---,---
U9,---,---
U10,---,---
U11A,74HCT244,CPU
U11B,74HCT244,CPU
U12A,74HCT244,CPU
U12B,74HCT244,CPU
U13,74HCT245,CPU
U14A,74HCT244,CPU
U14B,74HCT244,CPU
U15A,74HC74,CPU
U15B,74HC74,CPU
U16A,74HC08,---
U16B,74HC08,CPU
U16C,74HC08,PPI
U16D,74HC08,PSG
U17A,74HC32,CPU
U17B,74HC32,PPI
U17C,74HC32,PPI
U17D,74HC32,PPI
U18,Z84C006,CPU
U19,82C55A,PPI
U20,74HC153,PPI
U21A,74HC139,PPI
U21B,74HC139,PPI
U22,---,---
U23,74HC138,IO
U24A,74HC32,IO
U24B,74HC32,PSG
U24C,74HC32,PSG
U24D,74HC32,PSG
U25,SST39SF0x0,ROM
U26,ATMEGA328P,KBD
U27,74HC154,KBD
U28,74HC595,KBD
U29,74HC595,KBD
U30,74HC595,KBD
U31,74HC595,KBD
U32,74HC595,KBD
U33,74HC595,KBD
U34,74HC595,KBD
U35,74HC595,KBD
U36,74HC595,KBD
U37,74HC595,KBD
U38A,4069,CPU
U38B,4069,CPU
U38C,4069,CPU
U38D,4069,CPU
U38E,4069,PSG
U38F,4069,PSG
U39A,74HC07,PSG
U39B,74HC07,PSG
U39C,74HC07,PSG
U39D,74HC07,PSG
U39E,74HC07,PSG*
U39F,74HC07,PSG*
U40A,74HC74,PSG
U40B,74HC74,PPI
U41,AY-3-8910,PSG
U42,74HC157,PSG
U43,74HC157,PSG
U44A,74HC32,PSG
U44B,74HC32,PSG
U44C,74HC32,SLOTS
U44D,74HC32,SLOTS
U45,74HC595,KBD
U46,LM311,CAS
Y1,3.58MHZ,CPU
Y2,16MHZ,KBD
R1,---,---
R2,---,---
R3,1M,CPU
R4,1K,CPU
R5,10K,CPU
R6,10K,PSG
R7,10K,PSG
R8,10K,PSG
R9,10K,PSG
R10,10K,PSG
R11,10K,PSG
R12,10K,PSG
R13,10K,PSG
R14,10K,PSG
R15,10K,PSG
R16,10K,PSG
R17,10K,PSG
R18,470,PSG
R19,20k,PSG
R20,4k7,PSG
R21,2k7,PSG
R22,10K,PSG
R23,10K,PSG
R24,10K,PSG
R25,4k7,CAS
R26,4k7,CAS
R27,100,CAS
R28,2k7,CAS
R29,2k7,CAS
R30,10k,CAS
R31,4k7,CAS
R32,220k,CAS
R33,1k,CAS
R34,10k,CAS
R35,470k,CAS
R36,10K,SLOTS
R37,10K,SLOTS
R38,10K,SLOTS
R39,10K,SLOTS
R40,10K,SLOTS
R41,10K,SLOTS
J1,PS2CONN,KBD
J2,MSXSLOT,SLOTS
J3,MSXSLOT,SLOTS
J4,JOYCONN,PSG
J5,JOYCONN,PSG
J6,PWRCONN,PWR
J7,AUDIOCONN,CAS
J8,AUDIOCONN,CAS
J9,GFXCONN,SLOTS
C1,22pF,CPU
C2,22pF,CPU
C3,22pF,KBD
C4,22pF,KBD
C5,1uF,CPU
C6,22pF,CPU
C7,10uF,PSG
C8,10uF,PSG
C9,10uF,PSG
C10,1uF,CAS
C11,22nF,CAS
C12,22nF,CAS
C13,1uF,CAS
